Proteins,Shigella,Salmonella,Entry name,Status,Protein names,Length
P07437,1,0,TBB5_HUMAN,reviewed,Tubulin beta chain (Tubulin beta-5 chain),444
P07737,1,1,PROF1_HUMAN,reviewed,Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I),140
P07741,1,1,APT_HUMAN,reviewed,Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7),180
P07814,1,1,SYEP_HUMAN,reviewed,Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)],1512
P07864,1,0,LDHC_HUMAN,reviewed,L-lactate dehydrogenase C chain (LDH-C) (EC 1.1.1.27) (Cancer/testis antigen 32) (CT32) (LDH testis subunit) (LDH-X),332
P07900,1,1,HS90A_HUMAN,reviewed,Heat shock protein HSP 90-alpha (Heat shock 86 kDa) (HSP 86) (HSP86) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38),732
P07910,1,0,HNRPC_HUMAN,reviewed,Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2),306
P07948,1,0,LYN_HUMAN,reviewed,Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn),512
P08069,1,0,IGF1R_HUMAN,reviewed,Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain],1367
P08107,1,0,HS71A_HUMAN,reviewed,Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1),
P08133,1,1,ANXA6_HUMAN,reviewed,Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70),673
P08238,1,1,HS90B_HUMAN,reviewed,Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84),724
P08243,1,1,ASNS_HUMAN,reviewed,Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase),561
P08559,1,1,ODPA_HUMAN,reviewed,Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (EC 1.2.4.1) (PDHE1-A type I),390
P08579,1,0,RU2B_HUMAN,reviewed,U2 small nuclear ribonucleoprotein B'' (U2 snRNP B''),225
P08581,1,0,MET_HUMAN,reviewed,Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met),1390
P08621,1,1,RU17_HUMAN,reviewed,U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70),437
P08651,1,1,NFIC_HUMAN,reviewed,Nuclear factor 1 C-type (NF1-C) (Nuclear factor 1/C) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/C) (NF-I/C) (NFI-C) (TGGCA-binding protein),508
P08670,0,1,VIME_HUMAN,reviewed,Vimentin,466
P08708,1,0,RS17_HUMAN,reviewed,40S ribosomal protein S17 (Small ribosomal subunit protein eS17),135
P08754,1,1,GNAI3_HUMAN,reviewed,Guanine nucleotide-binding protein G(i) subunit alpha (G(i) alpha-3),354
P08758,1,1,ANXA5_HUMAN,reviewed,Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CBP-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha),320
P08865,1,0,RSSA_HUMAN,reviewed,40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2),295
P08913,1,0,ADA2A_HUMAN,reviewed,Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR),465
P09012,1,0,SNRPA_HUMAN,reviewed,U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A),282
P09211,1,0,GSTP1_HUMAN,reviewed,Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1),210
P09234,1,0,RU1C_HUMAN,reviewed,U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C),159
P09382,1,1,LEG1_HUMAN,reviewed,Galectin-1 (Gal-1) (14 kDa laminin-binding protein) (HLBP14) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1),135
P09429,1,1,HMGB1_HUMAN,reviewed,High mobility group protein B1 (High mobility group protein 1) (HMG-1),215
P09496,1,0,CLCA_HUMAN,reviewed,Clathrin light chain A (Lca),248
P09543,1,1,CN37_HUMAN,reviewed,2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) (CNPase) (EC 3.1.4.37),421
P09651,1,1,ROA1_HUMAN,reviewed,Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed],372
P09661,1,0,RU2A_HUMAN,reviewed,U2 small nuclear ribonucleoprotein A' (U2 snRNP A'),255
P09874,1,1,PARP1_HUMAN,reviewed,Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-),1014
P09884,1,0,DPOLA_HUMAN,reviewed,DNA polymerase alpha catalytic subunit (EC 2.7.7.7) (DNA polymerase alpha catalytic subunit p180),1462
P09960,1,1,LKHA4_HUMAN,reviewed,Leukotriene A-4 hydrolase (LTA-4 hydrolase) (EC 3.3.2.6) (Leukotriene A(4) hydrolase),611
P09972,1,0,ALDOC_HUMAN,reviewed,Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Brain-type aldolase),364
P0C0S5,1,0,H2AZ_HUMAN,reviewed,Histone H2A.Z (H2A/z),128
P0CAP2,1,0,GRL1A_HUMAN,reviewed,DNA-directed RNA polymerase II subunit GRINL1A (DNA-directed RNA polymerase II subunit M) (Glutamate receptor-like protein 1A),368
P0CG48,1,0,UBC_HUMAN,reviewed,Polyubiquitin-C [Cleaved into: Ubiquitin],685
P10155,1,0,RO60_HUMAN,reviewed,60 kDa SS-A/Ro ribonucleoprotein (60 kDa Ro protein) (60 kDa ribonucleoprotein Ro) (Ro60) (RoRNP) (Ro 60 kDa autoantigen) (Ro60 autoantigen) (Sjoegren syndrome antigen A2) (Sjoegren syndrome type A antigen) (SS-A) (TROVE domain family member 2),538
P10398,0,1,ARAF_HUMAN,reviewed,Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf) (Proto-oncogene A-Raf-1) (Proto-oncogene Pks),606
P10412,1,1,H14_HUMAN,reviewed,Histone H1.4 (Histone H1b) (Histone H1s-4),219
P10586,1,0,PTPRF_HUMAN,reviewed,Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR),1907
P10589,1,0,COT1_HUMAN,reviewed,COUP transcription factor 1 (COUP-TF1) (COUP transcription factor I) (COUP-TF I) (Nuclear receptor subfamily 2 group F member 1) (V-erbA-related protein 3) (EAR-3),423
P10599,1,1,THIO_HUMAN,reviewed,Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP) (allergen Hom s Trx),105
P10644,1,1,KAP0_HUMAN,reviewed,cAMP-dependent protein kinase type I-alpha regulatory subunit (Tissue-specific extinguisher 1) (TSE1),381
P10809,1,0,CH60_HUMAN,reviewed,60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein),573
P11021,1,0,BIP_HUMAN,reviewed,Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),654
P11137,1,1,MTAP2_HUMAN,reviewed,Microtubule-associated protein 2 (MAP-2),1827
P11142,1,1,HSP7C_HUMAN,reviewed,Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1),646
P11166,1,1,GTR1_HUMAN,reviewed,Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (HepG2 glucose transporter),492
P11233,1,1,RALA_HUMAN,reviewed,Ras-related protein Ral-A (EC 3.6.5.2),206
P11274,1,0,BCR_HUMAN,reviewed,Breakpoint cluster region protein (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-26),1271
P11387,1,1,TOP1_HUMAN,reviewed,DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I),765
P11388,1,1,TOP2A_HUMAN,reviewed,DNA topoisomerase 2-alpha (EC 5.6.2.2) (DNA topoisomerase II, alpha isozyme),1531
P11441,0,1,UBL4A_HUMAN,reviewed,Ubiquitin-like protein 4A (Ubiquitin-like protein GDX),157
P11532,1,0,DMD_HUMAN,reviewed,Dystrophin,3685
P11717,1,1,MPRI_HUMAN,reviewed,Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (M6P/IGF2 receptor) (M6P/IGF2R) (CD antigen CD222),2491
P11766,1,0,ADHX_HUMAN,reviewed,Alcohol dehydrogenase class-3 (EC 1.1.1.1) (Alcohol dehydrogenase 5) (Alcohol dehydrogenase class chi chain) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284),374
P11831,1,0,SRF_HUMAN,reviewed,Serum response factor (SRF),508
P11908,1,0,PRPS2_HUMAN,reviewed,Ribose-phosphate pyrophosphokinase 2 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase II) (PRS-II),318
P11940,1,1,PABP1_HUMAN,reviewed,Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1),636
P12004,1,1,PCNA_HUMAN,reviewed,Proliferating cell nuclear antigen (PCNA) (Cyclin),261
P12036,1,0,NFH_HUMAN,reviewed,Neurofilament heavy polypeptide (NF-H) (200 kDa neurofilament protein) (Neurofilament triplet H protein),1026
P12081,1,1,HARS1_HUMAN,reviewed,Histidine--tRNA ligase, cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS),509
P12268,1,1,IMDH2_HUMAN,reviewed,Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205) (IMPDH-II),514
P12270,1,1,TPR_HUMAN,reviewed,Nucleoprotein TPR (Megator) (NPC-associated intranuclear protein) (Translocated promoter region protein),2363
P12277,1,1,KCRB_HUMAN,reviewed,Creatine kinase B-type (EC 2.7.3.2) (Brain creatine kinase) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type) (CPK-B),381
P12429,1,0,ANXA3_HUMAN,reviewed,Annexin A3 (35-alpha calcimedin) (Annexin III) (Annexin-3) (Inositol 1,2-cyclic phosphate 2-phosphohydrolase) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III),323
P12694,1,0,ODBA_HUMAN,reviewed,2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain) (BCKDE1A) (BCKDH E1-alpha),445
P12956,1,1,XRCC6_HUMAN,reviewed,X-ray repair cross-complementing protein 6 (EC 3.6.4.-) (EC 4.2.99.-) (5'-deoxyribose-5-phosphate lyase Ku70) (5'-dRP lyase Ku70) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit) (CTC75) (CTCBF) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70) (Ku70) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 6),609
P13010,1,1,XRCC5_HUMAN,reviewed,X-ray repair cross-complementing protein 5 (EC 3.6.4.-) (86 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 2) (ATP-dependent DNA helicase II 80 kDa subunit) (CTC box-binding factor 85 kDa subunit) (CTC85) (CTCBF) (DNA repair protein XRCC5) (Ku80) (Ku86) (Lupus Ku autoantigen protein p86) (Nuclear factor IV) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)),732
P13051,1,1,UNG_HUMAN,reviewed,Uracil-DNA glycosylase (UDG) (EC 3.2.2.27),313
P13639,1,1,EF2_HUMAN,reviewed,Elongation factor 2 (EF-2),858
P13797,0,1,PLST_HUMAN,reviewed,Plastin-3 (T-plastin),630
P13798,1,1,ACPH_HUMAN,reviewed,Acylamino-acid-releasing enzyme (AARE) (EC 3.4.19.1) (Acyl-peptide hydrolase) (APH) (Acylaminoacyl-peptidase) (Oxidized protein hydrolase) (OPH),732
P13807,1,1,GYS1_HUMAN,reviewed,Glycogen [starch] synthase, muscle (EC 2.4.1.11),737
P13861,1,1,KAP2_HUMAN,reviewed,cAMP-dependent protein kinase type II-alpha regulatory subunit,404
P13984,1,0,T2FB_HUMAN,reviewed,General transcription factor IIF subunit 2 (EC 3.6.4.12) (ATP-dependent helicase GTF2F2) (General transcription factor IIF 30 kDa subunit) (Transcription initiation factor IIF subunit beta) (TFIIF-beta) (Transcription initiation factor RAP30),249
P14174,1,0,MIF_HUMAN,reviewed,Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase),115
P14324,1,0,FPPS_HUMAN,reviewed,Farnesyl pyrophosphate synthase (FPP synthase) (FPS) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Geranyltranstransferase),419
P14373,0,1,TRI27_HUMAN,reviewed,Zinc finger protein RFP (EC 2.3.2.27) (RING finger protein 76) (RING-type E3 ubiquitin transferase TRIM27) (Ret finger protein) (Tripartite motif-containing protein 27),513
P14618,1,1,KPYM_HUMAN,reviewed,Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58),531
P14735,1,1,IDE_HUMAN,reviewed,Insulin-degrading enzyme (EC 3.4.24.56) (Abeta-degrading protease) (Insulin protease) (Insulinase) (Insulysin),1019
P14854,0,1,CX6B1_HUMAN,reviewed,Cytochrome c oxidase subunit 6B1 (Cytochrome c oxidase subunit VIb isoform 1) (COX VIb-1),86
P14859,0,1,PO2F1_HUMAN,reviewed,POU domain, class 2, transcription factor 1 (NF-A1) (Octamer-binding protein 1) (Oct-1) (Octamer-binding transcription factor 1) (OTF-1),743
P14866,1,1,HNRPL_HUMAN,reviewed,Heterogeneous nuclear ribonucleoprotein L (hnRNP L),589
P14868,1,0,SYDC_HUMAN,reviewed,Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS) (Cell proliferation-inducing gene 40 protein),501
P14923,1,0,PLAK_HUMAN,reviewed,Junction plakoglobin (Catenin gamma) (Desmoplakin III) (Desmoplakin-3),745
P15056,0,1,BRAF_HUMAN,reviewed,Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1),766
P15104,1,0,GLNA_HUMAN,reviewed,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225),373
P15121,1,1,ALDR_HUMAN,reviewed,Aldo-keto reductase family 1 member B1 (EC 1.1.1.300) (EC 1.1.1.372) (EC 1.1.1.54) (Aldehyde reductase) (Aldose reductase) (AR) (EC 1.1.1.21),316
P15153,1,0,RAC2_HUMAN,reviewed,Ras-related C3 botulinum toxin substrate 2 (GX) (Small G protein) (p21-Rac2),192
P15170,0,1,ERF3A_HUMAN,reviewed,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (Eukaryotic peptide chain release factor subunit 3a) (eRF3a) (G1 to S phase transition protein 1 homolog),499
P15260,1,0,INGR1_HUMAN,reviewed,Interferon gamma receptor 1 (IFN-gamma receptor 1) (IFN-gamma-R1) (CDw119) (Interferon gamma receptor alpha-chain) (IFN-gamma-R-alpha) (CD antigen CD119),489
P15311,1,1,EZRI_HUMAN,reviewed,Ezrin (Cytovillin) (Villin-2) (p81),586
P15408,1,1,FOSL2_HUMAN,reviewed,Fos-related antigen 2 (FRA-2),326
P15531,0,1,NDKA_HUMAN,reviewed,Nucleoside diphosphate kinase A (NDK A) (NDP kinase A) (EC 2.7.4.6) (Granzyme A-activated DNase) (GAAD) (Metastasis inhibition factor nm23) (NM23-H1) (Tumor metastatic process-associated protein),152
P15559,1,1,NQO1_HUMAN,reviewed,NAD(P)H dehydrogenase [quinone] 1 (EC 1.6.5.2) (Azoreductase) (DT-diaphorase) (DTD) (Menadione reductase) (NAD(P)H:quinone oxidoreductase 1) (Phylloquinone reductase) (Quinone reductase 1) (QR1),274
P15822,1,0,ZEP1_HUMAN,reviewed,Zinc finger protein 40 (Cirhin interaction protein) (CIRIP) (Gate keeper of apoptosis-activating protein) (GAAP) (Human immunodeficiency virus type I enhancer-binding protein 1) (HIV-EP1) (Major histocompatibility complex-binding protein 1) (MBP-1) (Positive regulatory domain II-binding factor 1) (PRDII-BF1),2718
P15880,1,1,RS2_HUMAN,reviewed,40S ribosomal protein S2 (40S ribosomal protein S4) (Protein LLRep3) (Small ribosomal subunit protein uS5),293
P15923,1,1,TFE2_HUMAN,reviewed,Transcription factor E2-alpha (Class B basic helix-loop-helix protein 21) (bHLHb21) (Immunoglobulin enhancer-binding factor E12/E47) (Immunoglobulin transcription factor 1) (Kappa-E2-binding factor) (Transcription factor 3) (TCF-3) (Transcription factor ITF-1),654
P15924,1,1,DESP_HUMAN,reviewed,Desmoplakin (DP) (250/210 kDa paraneoplastic pemphigus antigen),2871
P16070,1,1,CD44_HUMAN,reviewed,CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44),742
P16070-18,1,0,CD44_HUMAN,reviewed,CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44),
P16104,1,0,H2AX_HUMAN,reviewed,Histone H2AX (H2a/x) (Histone H2A.X),143
P16144,1,0,ITB4_HUMAN,reviewed,Integrin beta-4 (GP150) (CD antigen CD104),1822
P16220,1,1,CREB1_HUMAN,reviewed,Cyclic AMP-responsive element-binding protein 1 (CREB-1) (cAMP-responsive element-binding protein 1),327
P16333,1,0,NCK1_HUMAN,reviewed,Cytoplasmic protein NCK1 (NCK adaptor protein 1) (Nck-1) (SH2/SH3 adaptor protein NCK-alpha),377
P16383,1,1,GCFC2_HUMAN,reviewed,GC-rich sequence DNA-binding factor 2 (GC-rich sequence DNA-binding factor) (Transcription factor 9) (TCF-9),781
P16401,1,1,H15_HUMAN,reviewed,Histone H1.5 (Histone H1a) (Histone H1b) (Histone H1s-3),226
P16402,0,1,H13_HUMAN,reviewed,Histone H1.3 (Histone H1c) (Histone H1s-2),221
P16403,1,1,H12_HUMAN,reviewed,Histone H1.2 (Histone H1c) (Histone H1d) (Histone H1s-1),213
P16435,0,1,NCPR_HUMAN,reviewed,NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4),677
P16615,1,1,AT2A2_HUMAN,reviewed,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 7.2.2.10) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase),1042
P16949,1,1,STMN1_HUMAN,reviewed,Stathmin (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18) (Op18) (Phosphoprotein p19) (pp19) (Prosolin) (Protein Pr22) (pp17),149
P16989,1,1,YBOX3_HUMAN,reviewed,Y-box-binding protein 3 (Cold shock domain-containing protein A) (DNA-binding protein A) (Single-strand DNA-binding protein NF-GMB),372
P17096,1,1,HMGA1_HUMAN,reviewed,High mobility group protein HMG-I/HMG-Y (HMG-I(Y)) (High mobility group AT-hook protein 1) (High mobility group protein A1) (High mobility group protein R),107
P17252,1,1,KPCA_HUMAN,reviewed,Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13),672
P17275,0,1,JUNB_HUMAN,reviewed,Transcription factor jun-B,347
P17302,0,1,CXA1_HUMAN,reviewed,Gap junction alpha-1 protein (Connexin-43) (Cx43) (Gap junction 43 kDa heart protein),382
P17480,1,0,UBF1_HUMAN,reviewed,Nucleolar transcription factor 1 (Autoantigen NOR-90) (Upstream-binding factor 1) (UBF-1),764
P17535,1,1,JUND_HUMAN,reviewed,Transcription factor jun-D,347
P17544,1,1,ATF7_HUMAN,reviewed,Cyclic AMP-dependent transcription factor ATF-7 (cAMP-dependent transcription factor ATF-7) (Activating transcription factor 7) (Transcription factor ATF-A),483
P17655,0,1,CAN2_HUMAN,reviewed,Calpain-2 catalytic subunit (EC 3.4.22.53) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain large polypeptide L2) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain),700
P17706,0,1,PTN2_HUMAN,reviewed,Tyrosine-protein phosphatase non-receptor type 2 (EC 3.1.3.48) (T-cell protein-tyrosine phosphatase) (TCPTP),415
P17707,1,0,DCAM_HUMAN,reviewed,S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase alpha chain; S-adenosylmethionine decarboxylase beta chain],334
P17812,1,1,PYRG1_HUMAN,reviewed,CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1),591
P17931,1,0,LEG3_HUMAN,reviewed,Galectin-3 (Gal-3) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Galactose-specific lectin 3) (Galactoside-binding protein) (GALBP) (IgE-binding protein) (L-31) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen),250
P17980,1,1,PRS6A_HUMAN,reviewed,26S proteasome regulatory subunit 6A (26S proteasome AAA-ATPase subunit RPT5) (Proteasome 26S subunit ATPase 3) (Proteasome subunit P50) (Tat-binding protein 1) (TBP-1),439
P17987,1,1,TCPA_HUMAN,reviewed,T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha),556
P18077,1,1,RL35A_HUMAN,reviewed,60S ribosomal protein L35a (Cell growth-inhibiting gene 33 protein) (Large ribosomal subunit protein eL33),110
P18124,1,1,RL7_HUMAN,reviewed,60S ribosomal protein L7 (Large ribosomal subunit protein uL30),248
P18206,1,1,VINC_HUMAN,reviewed,Vinculin (Metavinculin) (MV),1134
P18206-2,1,0,VINC_HUMAN,reviewed,Vinculin (Metavinculin) (MV),
P18583,1,0,SON_HUMAN,reviewed,Protein SON (Bax antagonist selected in saccharomyces 1) (BASS1) (Negative regulatory element-binding protein) (NRE-binding protein) (Protein DBP-5) (SON3),2426
P18615,1,1,NELFE_HUMAN,reviewed,Negative elongation factor E (NELF-E) (RNA-binding protein RD),380
P18669,1,1,PGAM1_HUMAN,reviewed,Phosphoglycerate mutase 1 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 1) (Phosphoglycerate mutase isozyme B) (PGAM-B),254
P18754,1,1,RCC1_HUMAN,reviewed,Regulator of chromosome condensation (Cell cycle regulatory protein) (Chromosome condensation protein 1),421
P18827,1,0,SDC1_HUMAN,reviewed,Syndecan-1 (SYND1) (CD antigen CD138),310
P18850,0,1,ATF6A_HUMAN,reviewed,Cyclic AMP-dependent transcription factor ATF-6 alpha (cAMP-dependent transcription factor ATF-6 alpha) (Activating transcription factor 6 alpha) (ATF6-alpha) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 alpha],670
P18858,1,1,DNLI1_HUMAN,reviewed,DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1),919
P18887,1,1,XRCC1_HUMAN,reviewed,DNA repair protein XRCC1 (X-ray repair cross-complementing protein 1),633
P19021,1,1,AMD_HUMAN,reviewed,Peptidyl-glycine alpha-amidating monooxygenase (PAM) [Includes: Peptidylglycine alpha-hydroxylating monooxygenase (PHM) (EC 1.14.17.3); Peptidyl-alpha-hydroxyglycine alpha-amidating lyase (EC 4.3.2.5) (Peptidylamidoglycolate lyase) (PAL)],973
P19022,0,1,CADH2_HUMAN,reviewed,Cadherin-2 (CDw325) (Neural cadherin) (N-cadherin) (CD antigen CD325),906
P19338,1,1,NUCL_HUMAN,reviewed,Nucleolin (Protein C23),710
P19484,0,1,TFEB_HUMAN,reviewed,Transcription factor EB (Class E basic helix-loop-helix protein 35) (bHLHe35),476
P20020,1,0,AT2B1_HUMAN,reviewed,Plasma membrane calcium-transporting ATPase 1 (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 1) (PMCA1) (Plasma membrane calcium pump isoform 1),1220
